functional_class,number,percent
all,197442,NA
coding_our_tx_set,5703,2.89
ptc_causing,250,4.38
transcript_dependent_ptc,4,0.07
nmd_escaping,138,54.33
nmd_triggering,109,42.91
transcript_alt_allele_dependent,7,2.76
nmd_escaping_canonical,96,37.8
nmd_triggering_canonical,155,61.02
transcript_andor_alt_allele_dependent_canonical,3,1.18
nmd_escaping_noncanonical,101,39.76
nmd_triggering_noncanonical,147,57.87
transcript_andor_alt_allele_dependent_noncanonical,6,2.36
nmd_escaping_407rule,79,31.1
nmd_escaping_start_proximal_rule,29,11.42
nmd_escaping_single_exon_rule,11,4.33
nmd_escaping_annotation_per_nmd_escape_variant,1.49,NA
