functional_class,value,percent
AENMD_annotated_PTC_causing,104649.0,10.106
Transcript_dependent_PTC,   611.0, 0.059
NMD_escaping, 37965.0,36.068
NMD_triggering, 64913.0,61.669
Transcript_dependent,  2382.0, 2.263
NMD_escaping_canonical_rules, 16225.0,15.414
NMD_triggering_canonical_rules, 85402.0,81.134
Transcript_dependent_canonical_rules,  3633.0, 3.451
NMD_escaping_noncanonical_rules, 30454.0,28.932
NMD_triggering_noncanonical_rules, 73529.0,69.855
Transcript_dependent_noncanonical_rules,  1277.0, 1.213
NMD_escaping_>407bp_rule, 26634.0,25.303
NMD_escaping_start_proximal_rule,  5920.0, 5.624
NMD_escaping_single_exon_rule,  1366.0, 1.298
NMD_escaping_annotation_per_NMD_escape_variant,     1.3,    NA
